Question,A,B,C,D,Answer
A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,120 metres,180 metres,324 metres,150 metres,D
"A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:",45 km/hr,50 km/hr,54 km/hr,55 km/hr,B
"The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is:",200 m,225 m,245 m,250 m,C
"If one-third of one-fourth of a number is 15, then three-tenth of that number is:",35,36,45,54,D
Three times the first of three consecutive odd integers is 3 more than twice the third. The third integer is:,9,11,13,15,D
The difference between a two-digit number and the number obtained by interchanging the positions of its digits is 36. What is the difference between the two digits of that number?,3,4,9,Cannot be determined,B
"A vessel is filled with liquid, 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?",Rs. 169.50,Rs. 170,Rs. 175.50,Rs. 180,C
"Tea worth Rs. 126 per kg and Rs. 135 per kg are mixed with a third variety in the ratio 1 : 1 : 2. If the mixture is worth Rs. 153 per kg, the price of the third variety per kg will be:",10,20,21,25,C
"A can contains a mixture of two liquids A and B is the ratio 7 : 5. When 9 litres of mixture are drawn off and the can is filled with B, the ratio of A and B becomes 7 : 9. How many litres of liquid A was contained by the can initially?","4 litres, 8 litres","6 litres, 6 litres","5 litres, 7 litres","7 litres, 5 litres",C
What should come in place of both ,13.41,20.46,21.66,22.35,D
 of A's amount is equal to ,2:05,3:05,4:05,6:07,C
In how many different ways can the letters of the word 'LEADING' be arranged in such a way that the vowels always come together?,None of these,360,480,720,C
In how many different ways can the letters of the word 'CORPORATION' be arranged so that the vowels always come together?,5040,None of these,810,1440,D
"Out of 7 consonants and 4 vowels, how many words of 3 consonants and 2 vowels can be formed?",2880,50400,5760,210,C
In how many ways can the letters of the word 'LEADER' be arranged?,1050,25200,21400,None of these,C
"The percentage increase in the area of a rectangle, if each of its sides is increased by 20% is:",None of these,40%,42%,44%,C
"A rectangular park 60 m long and 40 m wide has two concrete crossroads running in the middle of the park and rest of the park has been used as a lawn. If the area of the lawn is 2109 sq. m, then what is the width of the road?",46%,2.91 m,3 m,5.82 m,B
An accurate clock shows 8 o'clock in the morning. Through how may degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon?,144°,150°,168°,180°,D
The reflex angle between the hands of a clock at 10.25 is:,180°,195°,145°,150°,D
"A is two years older than B who is twice as old as C. If the total of the ages of A, B and C be 27, then how old is B?",33 years,38 years,7,8,D
"Present ages of Sameer and Anand are in the ratio of 5 : 4 respectively. Three years hence, the ratio of their ages will become 11 : 9 respectively. What is Anand's present age in years?",9,10,11,24,A
A person crosses a 600 m long street in 5 minutes. What is his speed in km per hour?,3.6,7.2,8.4,10,B
