Question,A,B,C,D,Answer,Qtype
ENORMOUS,Soft,Average,Tiny,Weak,C,Antonyms
COMMISSIONED,Started,Closed,Finished,Terminated,D,Antonyms
ARTIFICIAL,Red,Natural,Truthful,Solid,B,Antonyms
EXODUS,Influx,Home-coming,Return,Restoration,A,Antonyms
RELINQUISH,Abdicate,Renounce,Possess,Deny,C,Antonyms
EXPAND,Convert,Condense,Congest,Conclude,B,Antonyms
MORTAL,Divine,Immortal,Spiritual,Eternal,B,Antonyms
QUIESCENT,ACTIVE,Dormant,Weak,Unconcerned,A,Antonyms
STRINGENT,General,Vehement,Lenient,Magnanimous,C,Antonyms
MINOR,Big,Major,Tall,Heavy,B,Antonyms
REVEALED,Denied,Concealed,Ignored,Overlooked,B,Antonyms
ESSENTIAL,Extra,Noughts,Minors,Trivial,A,Antonyms
HYPOCRITICAL,Gentle,Sincere,Amiable,Dependable,B,Antonyms
FICKLE,Courageous,Sincere,Steadfast,Humble,C,Antonyms
INDISCREET,Reliable,Honest,Prudent,Stupid,C,Antonyms
FAMILIAR,Unpleasant,Dangerous,Friendly,Strange,D,Antonyms
TANGIBLE,Ethereal,Concrete,Actual,Solid,A,Antonyms
LOVE,Villainy,Hatred,Compulsion,Force,B,Antonyms
FAMOUS,Disgraced,Unknown,Evil,Popular,B,Antonyms
ABSOLUTE,Deficient,Faulty,Limited,Scarce,C,Antonyms
FRUGAL,Copious,Extravagant,Generous,Ostentatious,B,Antonyms
INSIPID,Tasty,Stupid,Discreet,Feast,A,Antonyms
ZENITH,Acme,Top,Nadir,Pinnacle,C,Antonyms
DOUBTFUL,Famous,Certain,Fixed,Important,B,Antonyms
PERENNIAL,Frequent,Regular,Lasting,Rare,D,Antonyms
BENIGN,Malevolent,Soft,Friendly,Unwise,A,Antonyms
HINDRANCE,Aid,Persuasion,Cooperation,Agreement,A,Antonyms
EXTRICATE,Manifest,Palpable,Release,Entangle,D,Antonyms
REPRESS,Inhibit,Liberate,Curb,Quell,B,Antonyms
ACQUITTED,Freed,Burdened,Convicted,Entrusted,C,Antonyms
