Question,A,B,C,D,Answer,Qtype
CORPULENT,Lean,Gaunt,Emaciated,Obese,D,synonyms
BRIEF,Limited,Small,Little,Short,D,synonyms
EMBEZZLE,Misappropriate,Balance,Remunerate,Clear,A,synonyms
VENT,Opening,Stodge,End,Past tense of go,A,synonyms
AUGUST,Common,Ridiculous,Dignified,Petty,C,synonyms
CANNY,Obstinate,Handsome,Clever,Stout,C,synonyms
ALERT,Energetic,Observant,Intelligent,Watchful,D,synonyms
UNCOUTH,Ungraceful,Rough,Slovenly,Dirty,B,synonyms
ERROR,Misadventure ,Misgiving,Ambiguity,Blunder,D,synonyms
COMMENSURATE,Measurable,Proportionate,Begining,Appropriate,B,synonyms
DEBACLE,Collapse,Decline,Defeat,Disgrace,A,synonyms
GERMANE,Responsible,Logical,Possible,Relevant,D,synonyms
DISTINCTION,Diffusion ,Disagreement,Different ,Degree,C,synonyms
BROWSE,Heal,Deceive,Examine,Strike,C,synonyms
INFREQUENT,Never,Usual,Rare,Sometimes,C,synonyms
RESTRAINT,Hindrance,Repression,Obstacle,Restriction,D,synonyms
DEIFY,Flatter ,Challenge,Worship ,Face,C,synonyms
HARBINGER,Messenger,Steward,Forerunner,Pilot,C,synonyms
VENUE,Place,Agenda,Time,Duration,A,synonyms
CANDID,Apparent,Explicit,Frank,Bright,C,synonyms
ASCEND,Leap,Grow,Deviate,Mount,D,synonyms
FURORE,Excitement,Worry,Flux,Anteroom,A,synonyms
SYNOPSIS,Index,Mixture,Summary,Puzzles,C,synonyms
TURN UP,Land up ,Show up,Crop up ,Come up,B,synonyms
VIGOUR,Strength,Boldness,Warmth,Enthusism,A,synonyms
GARNISH,Paint,Garner,Adorn,Abuse,C,synonyms
MENDACIOUS,Full of Confidence,FALSE,Encouraging,Provocative,B,synonyms
INTIMIDATE,To hint,Frighten,Bluff,Harass,B,synonyms
CANTANKEROUS,Quarrelsome,Rash ,Disrespectful,Noisy,A,synonyms
RANT,Praise inordinately,Formalise,To preach noisily,Treat with screen,C,synonyms
ZANY,Clown,Pet,Thief,Magician,A,synonyms
TACITURNITY,Dumbness,Changeablemess,Hesitation,Reserve,D,synonyms
MASSACRE,Murder,Stab,Assassinate,Slaughter,D,synonyms
KEN,Ignorance,Witness,Trial,Knowledge,D,synonyms
MELD,To soothe,Merge,Purchase,Glisten,B,synonyms
LYNCH,Hang,Madden,Kill,Shoot,C,synonyms
TORTURE,Torment,Chastisement,Harassment,Terror,A,synonyms
ABUNDANT,Ripe,Cheap,Plenty,Absent,C,synonyms
ENTIRE,Part,Quarter,Whole,Half,C,synonyms
DESTITUTION,Humility,Moderation,Poverty,Beggary,C,synonyms
WRETCHED,Poor,Foolish,Insane,Strained,A,synonyms
STRINGENT,Tense,Stringly,Strict,Causing to Shrink,C,synonyms
INSOMNIA,Lethargy,Sleeplessness,Drunkenness,Unconsciousness,B,synonyms
LAUD,Lord,Eulogy,Praise,Extolled,C,synonyms
REPERCUSSION,Clever reply,Recollection,Remuneration,Reaction,D,synonyms
IMPROMPTU,Offhand ,Unimportant ,Unreal ,Effective,A,synonyms
MASTERLY,Crafty,Skilful,Meaningful,Cruel,B,synonyms
SCINTILLATING,Smouldering ,Glittering,Touching,Warming,B,synonyms
TEPID,Hot,Warm ,Cold,Boiling,B,synonyms
VORACIOUS,Wild,Greedy,Angry,Quick,B,synonyms
UNITE,Unfold,Unchain,Combine,Unhinge,C,synonyms
COMBAT,Conflict,Quarrel ,Feud,Fight,D,synonyms
REFECTORY,Restaurant ,Parlour ,Living Room ,Dining Room,D,synonyms
GARRULITY,Credulity,Senility,Loquaciousness,Speciousness,C,synonyms
MOROSE,Annoyed,Gloomy,Moody,Displeased,B,synonyms
VORACIOUS,Truthful,Gluttonous,Funny,Venturous,B,synonyms
AWAKENED,Enlightened,Realised,Shook,Waken,D,synonyms
GRATIFY,Appreciate,Frank,Indulge,Pacify,C,synonyms
PRECARIOUS,Cautious ,Critical ,Perilous,Brittle,C,synonyms
FRUGALITY,Foolishness,Extremity,Enthusiasm,Economy,D,synonyms
CORRESPONDENCE,Agreements,Contracts,Documents,Letters,D,synonyms
INFAMY,Dishonour,Glory,Integrity,Reputation,A,synonyms
BARE,Uncovered,Tolerate,Clear,Neat,A,synonyms
REPEAL,Sanction,Perpetuate,Pass,Cancel,D,synonyms
SALACITY,Bliss,Depression,Indecency,Recession,C,synonyms
ECSTATIC,Animated,Bewildered,Enraptured,Illful,C,synonyms
WARY,Sad,vigilant,Distorted,Tired,B,synonyms
RABBLE,Mob,Noise,Roar,Rubbish,A,synonyms
MAYHEM,Jubilation ,Havoc,Excitement,Defeat,B,synonyms
PONDER,Think,Evaluate,Anticipate,Increase,A,synonyms
CONNOISSEUR,Ignorant,Lover of art,Interpreter,Delinquent,B,synonyms
SHIVER,Feel,Rock,Tremble,Move,C,synonyms
PRESTIGE,Influence,Quality,Name,Wealth,C,synonyms
ADMONISH,Punish,Curse,Dismiss,Reprimand,D,synonyms
DILIGENT,Progressive,Brilliant,Inventive,Hard-working,D,synonyms
